ID,X_happiness,X_gender,T_raw,Y_raw,T,Y
111034202,10,2,2,2,0,1
111034203,9,2,3,2,0,1
111034204,11,2,2,2,0,1
111034205,6,2,3,2,0,1
111034301,6,2,2,1,0,1
111034302,6,2,3,3,0,1
111034303,4,2,2,4,0,0
111034304,8,2,2,2,0,1
111034305,7,2,1,1,0,1
111034401,6,2,4,4,1,0
111034402,9,2,1,1,0,1
111034403,9,2,1,1,0,1
111034404,10,2,1,1,0,1
111034501,9,2,3,3,0,1
111034502,5,2,3,2,0,1
111034503,9,2,2,2,0,1
111034504,5,2,2,2,0,1
111035101,8,1,3,3,0,1
111035102,5,1,2,2,0,1
111035103,7,1,2,2,0,1
111035104,9,1,1,1,0,1
111035105,7,1,1,1,0,1
111035202,8,1,2,2,0,1
111035203,8,1,2,2,0,1
111035204,9,1,3,3,0,1
111035205,5,1,3,3,0,1
111035301,5,1,4,3,1,1
111035302,9,1,2,2,0,1
111035303,8,1,1,1,0,1
111035304,10,1,2,3,0,1
111035305,5,1,3,2,0,1
111035401,11,1,2,2,0,1
111035402,9,1,2,2,0,1
111035403,8,1,4,4,1,0
111035405,9,1,3,3,0,1
111035501,11,1,1,4,0,0
111035502,9,1,3,1,0,1
111035503,8,1,2,2,0,1
111035504,8,1,2,2,0,1
111035505,11,1,3,2,0,1
111036101,11,1,4,1,1,1
111036102,6,2,2,2,0,1
111036103,5,2,4,4,1,0
111036104,11,1,3,3,0,1
